,name,time,tweet
60,Kagehina,2022-03-13 01:31:29,@Cinepolis Deberían de transmitir conciertos pasados 😩🥺
61,𝔸𝕜𝕖𝕞𝕚|| Minkemi March🍊✨,2022-03-13 01:31:29,@Cinepolis GRACIAS POR TAN BONITA EXPERIENCIA!!! 💜💜💜💜💜
62,Wntty,2022-03-13 01:31:25,@Cinepolis Me quedé afónico pero valió la pena
63,페르,2022-03-13 01:31:19,@Cinepolis gracias! 💜
64,ᶻ 𝘇 : 🗞️ ★ 𝘅𝗑𝗮𝗹𝗆𝘅 ⭒ (愛),2022-03-13 01:31:13,"Hace 3 meses viendolos desde mi casa, hoy en el cine, y si se puede el próximo año en un estadio!!!

@BTS_twt @Ticketmaster_Me @Cinepolis"
65,🗝 K E Y🗝,2022-03-13 01:31:08,"ARMYS de la sala 10 de la 1 de la tarde de #cinepolis Santa Anita 
AUN NO SUPERO EL HECHO Q ME PERDI GO GO Y EL MOMENTO TAEKOOK!!!!!?"
66,mandarin juice,2022-03-13 01:31:07,(1) Hoy en el cine (Cinépolis Mx Córdoba) compré mi combo específicamente para tener mi boleto conmemorativo y pasó… https://t.co/scSauIZQML
67,Lenaa 💜✨| Gigi Day 😼,2022-03-13 01:31:06,"No salí del cine con las manos vacías. 🥺💜✨
Gracias a #BTSARMY Y @MasQueCineLatam
@cinepolis por hacer posible esta… https://t.co/busV79g9ws"
68,Cinépolis,2022-03-13 01:31:00,"A tod@s los que esperaron, estuvieron, aguantaron, rieron y compartieron, ¡gracias Army! 💜 BTS Permission to Dance✨ https://t.co/lttto8n9jo"
69,𝑆𝑒𝑙𝑒𝑛𝑒_,2022-03-13 01:30:55,"Ameeeee!! #PTD_ON_STAGE_SEOUL  
En #Cinepolis
#BTSARMY  
#BTS 
#BTSCONCERT 
ME EMOCIONE POR TODOOOOO!!!💜💜💜 https://t.co/jhAx649hHc"
70,Barb ⁶₁₃🇲🇽⁷,2022-03-13 01:30:54,"@ARMY98564464 @_euphoriality @Cinepolis No, esta es sala 1 de Satélite"
71,☻,2022-03-13 01:30:48,@mimsgold Súper bien💕 entramos un poco tarde porque los de cinepolis no se organizaron bien (a pesar de que llegamo… https://t.co/8TXbTX9EjE
72,Brenda💜 BTS 💜 ASTRO 💜🇲🇽,2022-03-13 01:30:37,@MasQueCineLatam Joder no hay palabras.....😢🥹💜 Cuando vengan a México 🇲🇽🇲🇽🇲🇽 les prometo gritar más de lo que lo hi… https://t.co/cAV8LgsHqh
73,a.hobi.,2022-03-13 01:30:34,Gracias @Cinepolis 💜💜💜💜 #bts #BTSCONCERT #ARMY #PermissionToDanceOnStageSeoul @BTS_twt https://t.co/Rxyf7J0ujz
74,clau⁷ min march🍊💜,2022-03-13 01:30:33,el boletito de cinepolis 👍 https://t.co/gTrOksKUJq
75,▪Fren▪🌱,2022-03-13 01:30:23,"#Army como para venir a hacer esto y ni siquiera reembolsarnos por hacer estas porquerías.

Tratamos de aprovechar… https://t.co/FTvVTXHPJc"
76,▪Fren▪🌱,2022-03-13 01:30:23,"Pero de esa forma era prácticamente imposible, me quedé con muy mal sabor de boca.

Espero que #Cinepolis pueda mej… https://t.co/dxuBDGrKse"
77,▪Fren▪🌱,2022-03-13 01:30:18,"Vengo a exponer el malísimo servicio que dio hoy #Cinepolis Portal en Veracruz, desde el principio la organización… https://t.co/xZiJs7S2Vc"
78,JAZMIN FLORES,2022-03-13 01:30:17,"Realmente disfrute mucho la transmisión del cine
#PermissionToDanceOnStage #cinepolis https://t.co/bnAb2Img7v"
79,lex,2022-03-13 01:30:15,@Ostara_20 @Cinepolis en que sala estuviste? en la 4 en la que yo estaba todo estuvo bien
80,luc1,2022-03-13 01:30:02,"+ resumen de todo esto: la sala 13 de cinepolis la función de las 19:00 estuvo muy feo, canciones entre cortadas y… https://t.co/VPjN81LvBs"
81,🐥,2022-03-13 01:29:58,@Cinepolis el mío también
82,Maritza Garcia Garcia,2022-03-13 01:29:15,@MasQueCineLatam SIMPLEMENTE GRACIAS @Cinepolis  @MasQueCineLatam  💜💜💜💜 https://t.co/VirAINvYu5
83,Vanii,2022-03-13 01:29:06,Fui al cinepolis a ver la retransmision del concierto #PTD_ON_STAGE_SEOUL #PermissionToDanceOnStageSeoul  y grite m… https://t.co/T2CX1WU4qk
84,Angie 🧈🤠,2022-03-13 01:29:00,"Army son tan lindas 😭 no paraban de regalar cositas, todos se pararon a bailar y cantar en la sala, aventaron globo… https://t.co/joNwcRKKcc"
85,José Velasco,2022-03-13 01:28:59,Si me dio risa 🤣... https://t.co/UNueFiwIQz
86,Azu Estrada,2022-03-13 01:28:45,@MasQueCineLatam @Cinepolis 😎😎 @MasQueCineLatam 💜💜 #BTS_twt 👑👑 Ame todo !!  #BTS_PTD_ON_STAGE_SEOUL 😍😘🥰 https://t.co/PHSDWiZmw5
87,hobi_flower_kisses,2022-03-13 01:28:32,"Alta traición, yo y otras 3 armys eramos las únicas cantando y gritando en la sala del cine, aparte según yo vi que… https://t.co/LnRbvfpwFk"
