,name,time,tweet
70,👑||𝓜𝓪𝓻𝓬𝓮𝓵𝓪 𝓥𝓪𝓵𝓮𝓷𝓬𝓲𝓪||💜🇲🇽🇨🇴,2022-03-12 21:56:35,A unos minutos se que inicie el concierto de #BTS les dieron sus tarjetas???? Miren la mía con la lightstick ☺💜… https://t.co/NNeMm8dZ8x
71,Yoma JM,2022-03-12 21:55:58,En espera... #BTS #BTS_PTD_ON_STAGE_SEOUL #bts_in_mexico  #cinepolis https://t.co/DCwV0SnxDn
72,A d e l a,2022-03-12 21:53:58,"Mis amores, ha sido de las mejores experiencias que he tenido. Espero en Dios un día poder verlos en un concierto p… https://t.co/OHaDKnGp40"
73,Ale,2022-03-12 21:53:14,"La pasé genial, canté, reí, lloré, los amo chicos 
#BTS_PTD_ON_STAGE_SEOUL
#bts_in_mexico
@BTS_twt 
@bts_bighit https://t.co/vYf3T26WIV"
74,𝚖𝚘𝚘𝚗 ᴬʳᵐʸ ⟭⟬🌙🌺 🌌🇲🇽,2022-03-12 21:49:00,"Esta muy bonito el boleto 😭
@BTS_twt
#bts_in_mexico
#방탄소년단 
#PTD_ON_STAGE_SEOUL https://t.co/6Ct3KMInEI"
75,Hua Cheng,2022-03-12 21:43:23,Ya salió una pero el del combo de BTS creo que se la robaron :”) #bts_in_mexico #Cinepolis #BTSCONCERT
76,🍓𝑫𝒐𝒏𝒂𝒅𝒆𝒇𝒓𝒆𝒔𝒂 🥭💧,2022-03-12 21:42:36,"Mis sobrinas bien felices después del #BTSCONCERT2022 #BTS

💜💜💜💜💜💜💜💜💜

 #cinepolis #BTSPermissionToDanceOnStage… https://t.co/Ryfkp3Uw61"
77,Ｔｅｔｅ 🇲🇽 | BTS PAVED THE WAY 4 ALL,2022-03-12 21:38:06,"Llore brillitos 🤧💜
#BTS #BTS_PTD_ON_STAGE_SEOUL #bts_in_mexico #BTSPermissionToDanceOnStage #cinepolis @BTS_twt https://t.co/fvqhoKVvtH"
78,KimJeon YM⁷ 🇲🇽,2022-03-12 21:31:37,"@jiminhoneybts2 La verdad si esperaba el ""BTS IN MEXICO 2023"" &gt;&lt;"
79,B r e a k i e⁷🐳 🥕,2022-03-12 21:30:17,"Wuuuuuu venga que esto de verdad se ve muy real, es como si tambien estuviéramos entrando al mismo tiempo que ellas… https://t.co/cJWcpYqYDY"
80,B r e a k i e⁷🐳 🥕,2022-03-12 21:26:17,YA ENTRE Y YO NO SABIA QUE IBAN A EMPEZAR A GRABAR EL CONCIERTO DESDE DONDE VAN ENTRANDO LAS PERDONAS 😭😭😭 AMOL… https://t.co/p4w3bWf1iS
81,Sarahi ~ BTS 🇲🇽🇺🇸 💜,2022-03-12 21:24:40,@karlahope94 Ya sé a nosotras nos dijeron que la función se terminaba a las 3:30 jajaja y ya se había terminado fui… https://t.co/vd27iBxjzm
82,𝖝𝖎𝖒| EXTRAÑO A NAYU,2022-03-12 21:17:26,"Me tiembla todo dios, que buen concierto                                  #Cinepolis #PermissionToDanceOnStage #bts_in_mexico"
83,Sarahi ~ BTS 🇲🇽🇺🇸 💜,2022-03-12 21:07:56,Llegué tarde pero me recibió mi bias #KIMSEOKJIN aaaaa!! #bts #BTSARMY #PTDLIVEVIEWING #PTD_ON_STAGE_SEOUL_day2… https://t.co/0YglId6qag
84,Adriana♡,2022-03-12 21:04:20,"Así sali

#PermissionToDanceOnStage #bts_in_mexico https://t.co/g06cJL07Rd"
85,Konegiri,2022-03-12 18:13:11,"Voy tarde para el #BTSCONCERT ,pero aqui esta mi #ovni  pa disfrútalos en el cine🍿🎞 ¿Cuál es su #outfit ?… https://t.co/NbzkRIT7nu"
86,Jiuts 🪱,2022-03-12 18:11:16,"Estoy transmitiendo el concierto de #PTD_ON_STAGE_SEOUL desde mi cuenta de Instagram
@Jijiuts 
#BTSARMY #BTSARMY… https://t.co/WaOH6tmctP"
87,xhi ² ⁷ ¹ ² ❀,2022-03-12 18:00:09,Ya estamos en la sala!! Se logró !! #bts_in_mexico #BTSCINEPOLIS #BTSCONCERT #BTSPermissionToDanceOnStage https://t.co/pb6QltCp1U
88,el pelo rojo de jimin ⁷ ⟬⟭ ROME VIO A BTS✨,2022-03-12 17:59:57,"ESTAMOS LISTAS!! PTD ON STAGE - SEOUL LIVE VIEWING DESDE MEXICO. 
MX-ARMY PRESENTE  ✨🇲🇽💜 
@yeonminbtxt… https://t.co/gvNYZPom8E"
89,namjoontuvaron✨✨🌺,2022-03-12 17:59:00,"Lo que mi creatividad hace o siiiii es hoy

#ARMY #BTSCONCERT #BTSARMY #bts_in_mexico #Cinepolis #BTS https://t.co/Rr1Z68CGVL"
